City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
4,Bambanglipuro,ID,80.55,light rain,-7.95,110.2833,Puri Brata
5,Yaan,NG,76.77,broken clouds,7.3833,8.5667,
8,Alyangula,AU,78.8,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
11,Bonthe,SL,77.07,clear sky,7.5264,-12.505,Bonthe Holiday Village
15,Samarai,PG,85.32,scattered clouds,-10.6167,150.6667,Nuli Sapi
19,Miranda,CO,77.0,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
22,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
24,Puerto Colombia,CO,80.6,few clouds,10.9878,-74.9547,Hotel El Emigrante
27,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
31,Pangkalanbuun,ID,80.02,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
34,Atuona,PF,79.77,light rain,-9.8,-139.0333,Villa Enata
36,Te Anau,NZ,75.04,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
37,Port Hedland,AU,86.0,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
41,Rikitea,PF,78.76,light rain,-23.1203,-134.9692,Pension Maro'i
52,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
53,Takoradi,GH,79.41,clear sky,4.8845,-1.7554,Raybow International Hotel
55,Hobart,AU,77.0,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
56,New Norfolk,AU,77.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
59,Guarapari,BR,82.4,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
64,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Port Keats,AU,83.46,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
75,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
81,San Juan,AR,83.89,clear sky,-31.5375,-68.5364,Hotel Provincial
82,Kavieng,PG,83.3,light rain,-2.5744,150.7967,Nusa Island Retreat
84,Dhidhdhoo,MV,81.91,broken clouds,6.8833,73.1,Dhidhoo beach
85,Poum,NC,79.86,few clouds,-20.2333,164.0167,Gîte kajeon
87,Cabo San Lucas,MX,75.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
94,Cabildo,AR,75.0,clear sky,-38.4842,-61.8954,
95,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
96,Kouroussa,GN,76.66,clear sky,10.65,-9.8833,Hotel Paillote
98,Carnarvon,AU,82.4,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
99,Ubala,CO,84.6,overcast clouds,4.7478,-72.5369,HATO SANTA LETICIA
106,Champerico,GT,80.6,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
107,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
111,Vila Velha,BR,82.4,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
115,Kalmunai,LK,75.58,broken clouds,7.4167,81.8167,VS Villa
116,Caucaia,BR,81.0,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
119,Sulangan,PH,80.56,overcast clouds,11.1373,123.7228,Maia's Beach Resort
123,Nsoko,SZ,75.2,clear sky,-27.0333,31.95,
124,Acapulco,MX,80.6,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
127,Harper,LR,79.14,clear sky,4.375,-7.7169,Screensaver
128,Arraial Do Cabo,BR,75.54,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
131,Kisarawe,TZ,78.8,few clouds,-6.9,39.0667,Lenga Guest House
140,Terra Santa,BR,81.63,overcast clouds,-2.1042,-56.4869,Hotel Sarah
142,Ambon,ID,87.8,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
143,Coari,BR,76.77,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
149,Namatanai,PG,82.83,overcast clouds,-3.6667,152.4333,Namatanai Hotel
154,Hithadhoo,MV,81.79,overcast clouds,-0.6,73.0833,Scoop Guest House
156,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
159,Samana,DO,75.38,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
166,Padang,ID,80.6,few clouds,-0.9492,100.3543,Mercure Padang
167,Vao,NC,78.6,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
168,Kavaratti,IN,80.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
169,Araouane,ML,77.09,overcast clouds,18.9048,-3.5265,
177,Tagusao,PH,81.01,overcast clouds,9.1924,117.8141,Toledo
181,Dicabisagan,PH,76.68,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
182,Toamasina,MG,75.2,light rain,-18.1667,49.3833,Hotel H1
192,Humberto De Campos,BR,76.71,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
196,Labuhan,ID,81.19,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
202,Gizo,SB,84.38,light rain,-8.103,156.8419,Imagination Island
214,Faanui,PF,81.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
227,Puerto Escondido,MX,80.6,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
228,Yulara,AU,78.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
229,Gurupa,BR,78.64,overcast clouds,-1.405,-51.64,Residencial DWD
236,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
239,Sibu,MY,77.0,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
245,Inhambane,MZ,78.04,overcast clouds,-23.865,35.3833,Oceano
256,Pochutla,MX,78.8,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
262,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
272,Georgetown,MY,82.0,few clouds,5.4112,100.3354,Cititel Penang
273,Kimbe,PG,86.27,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
276,La Asuncion,VE,76.71,few clouds,11.0333,-63.8628,Colinas de Matasiete
278,Wewak,PG,82.54,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
279,Bengkulu,ID,78.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
280,Port Macquarie,AU,82.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
281,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
282,Panguna,PG,84.4,clear sky,-6.3164,155.4848,
284,Honiara,SB,84.02,moderate rain,-9.4333,159.95,Heritage Park Hotel
290,Altamira,BR,77.31,overcast clouds,-3.2033,-52.2064,Requinte Hotel
291,Sola,VU,81.52,scattered clouds,-13.8833,167.55,Leumerus Bungalows
