City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.4,76,40,26.46,scattered clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,77,4.0,broken clouds
2,Jamestown,US,42.097,-79.2353,23.0,68,90,17.27,overcast clouds
3,La Ronge,CA,55.1001,-105.2842,-20.2,63,39,9.22,scattered clouds
4,Bambanglipuro,ID,-7.95,110.2833,80.55,76,100,4.47,light rain
5,Yaan,NG,7.3833,8.5667,76.77,19,58,4.32,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,48.2,61,0,16.11,clear sky
7,Casper,US,42.8666,-106.3131,30.99,74,40,5.75,scattered clouds
8,Alyangula,AU,-13.8483,136.4192,78.8,89,90,16.11,moderate rain
9,Yar-Sale,RU,66.8333,70.8333,-17.54,88,100,10.33,overcast clouds
10,Busselton,AU,-33.65,115.3333,64.99,71,100,5.01,overcast clouds
11,Bonthe,SL,7.5264,-12.505,77.07,84,0,7.43,clear sky
12,Qaanaaq,GL,77.484,-69.3632,-4.9,77,100,7.94,overcast clouds
13,Nikolskoye,RU,59.7035,30.7861,10.0,78,75,8.95,light snow
14,Port Alfred,ZA,-33.5906,26.891,69.01,93,100,14.92,overcast clouds
15,Samarai,PG,-10.6167,150.6667,85.32,70,33,8.34,scattered clouds
16,Moron,AR,-34.6534,-58.6198,73.0,74,0,1.01,clear sky
17,Hasaki,JP,35.7333,140.8333,52.0,61,20,6.91,few clouds
18,Albany,US,42.6001,-73.9662,37.99,73,36,4.61,scattered clouds
19,Miranda,CO,3.2499,-76.2281,77.0,69,75,12.66,broken clouds
20,Iqaluit,CA,63.7506,-68.5145,23.0,80,90,20.71,snow
21,Do Gonbadan,IR,30.3586,50.7981,44.6,65,0,6.89,clear sky
22,Vaini,TO,-21.2,-175.2,84.2,89,75,4.61,broken clouds
23,Port Lincoln,AU,-34.7333,135.8667,66.61,70,73,17.05,broken clouds
24,Puerto Colombia,CO,10.9878,-74.9547,80.6,78,20,8.05,few clouds
25,Norrtalje,SE,59.758,18.705,19.99,78,100,13.0,light snow
26,Mar Del Plata,AR,-38.0023,-57.5575,71.01,55,0,4.61,clear sky
27,Avarua,CK,-21.2078,-159.775,84.2,74,40,13.8,scattered clouds
28,Hermanus,ZA,-34.4187,19.2345,66.99,88,4,1.99,clear sky
29,Henties Bay,NA,-22.116,14.2845,64.0,90,35,1.01,scattered clouds
30,Evensk,RU,61.95,159.2333,-0.38,90,100,14.36,overcast clouds
